frame,object_id,lat_dist,long_dist,abs_vel,rel_vel,is_cipv,lane_association,lane_right_boundary,lane_left_boundary,ego_vel,ego_acc,ego_yaw
1000200000,3705,-0.000172022,55.55429077,0.128917545,0.128939584,0,1,-1.750017405,1.750017405,-2.20E-05,0.000268649,-0.089769834
1000200000,3709,-3.500477552,75.45824432,-2.49E-05,-2.88E-06,0,2,-1.750017405,1.750017405,-2.20E-05,0.000268649,-0.089769834
1000200000,3706,-3.500485659,55.81892395,-2.39E-05,-1.84E-06,0,2,-1.750017405,1.750017405,-2.20E-05,0.000268649,-0.089769834
1000250000,3703,-3.499993801,41.89815903,7.825387001,7.825417042,0,2,-1.750017405,1.750017405,-2.99E-05,-0.000156945,-0.089759181
1000250000,3698,3.499655008,27.62738228,4.740983486,4.741013527,0,3,-1.750017405,1.750017405,-2.99E-05,-0.000156945,-0.089759181
1000250000,3702,-0.001022124,36.27580261,1.771956801,1.771986723,1,1,-1.750017405,1.750017405,-2.99E-05,-0.000156945,-0.089759181
1000250000,3708,0.000642039,76.68488312,2.220580339,2.22061038,0,1,-1.750017405,1.750017405,-2.99E-05,-0.000156945,-0.089759181
1000250000,3701,3.498642683,56.16208649,1.663169622,1.663199544,0,3,-1.750017405,1.750017405,-2.99E-05,-0.000156945,-0.089759181
1000250000,3705,-0.000409535,55.56184769,0.152091458,0.15212132,0,1,-1.750017405,1.750017405,-2.99E-05,-0.000156945,-0.089759181
1000250000,3709,-3.500513315,75.45922089,0.101553343,0.10158322,0,2,-1.750017405,1.750017405,-2.99E-05,-0.000156945,-0.089759181
1000250000,3706,-3.500515223,55.81892776,-3.08E-05,-8.94E-07,0,2,-1.750017405,1.750017405,-2.99E-05,-0.000156945,-0.089759181
1000300000,3703,-3.499624014,42.28800583,7.735832214,7.734040737,0,2,-1.750017405,1.750017405,0.001791208,0.036421649,-0.089801782
1000300000,3698,3.500047207,27.86235428,4.812412739,4.810621262,0,3,-1.750017405,1.750017405,0.001791208,0.036421649,-0.089801782
1000300000,3702,-0.001016599,36.36833191,1.909357429,1.90756619,1,1,-1.750017405,1.750017405,0.001791208,0.036421649,-0.089801782
1000300000,3708,0.000849284,76.8013382,2.420927763,2.419136763,0,1,-1.750017405,1.750017405,0.001791208,0.036421649,-0.089801782
1000300000,3701,3.498909235,56.24680328,1.722844481,1.721053243,0,3,-1.750017405,1.750017405,0.001791208,0.036421649,-0.089801782
1000300000,3705,-0.000488173,55.57232285,0.214454412,0.212663203,0,1,-1.750017405,1.750017405,0.001791208,0.036421649,-0.089801782
1000300000,3709,-3.500266314,75.47871399,0.554488778,0.552697539,0,2,-1.750017405,1.750017405,0.001791208,0.036421649,-0.089801782
1000300000,3706,-3.50039649,55.81893158,-2.92E-05,-0.001820407,0,2,-1.750017405,1.750017405,0.001791208,0.036421649,-0.089801782
1000350000,3703,-3.509535551,42.6543808,7.563934326,7.119843483,0,2,-1.749529123,1.750505686,0.444090694,8.845984459,-0.085753777
1000350000,3698,3.493068457,28.10923004,5.498642445,5.054551601,0,3,-1.749529123,1.750505686,0.444090694,8.845984459,-0.085753777
1000350000,3702,-0.009485709,36.45230103,2.015207052,1.571116567,1,1,-1.749529123,1.750505686,0.444090694,8.845984459,-0.085753777
1000350000,3708,-0.015726957,76.91371155,2.633182526,2.189091682,0,1,-1.749529123,1.750505686,0.444090694,8.845984459,-0.085753777
1000350000,3701,3.486696482,56.32396317,1.918506145,1.474415421,0,3,-1.749529123,1.750505686,0.444090694,8.845984459,-0.085753777
1000350000,3705,-0.012487996,55.56811142,0.205562949,-0.23852776,0,1,-1.749529123,1.750505686,0.444090694,8.845984459,-0.085753777
1000350000,3709,-3.516911745,75.50009918,0.817227304,0.37313661,0,2,-1.749529123,1.750505686,0.444090694,8.845984459,-0.085753777
1000350000,3706,-3.512491465,55.80327988,-2.79E-05,-0.444118589,0,2,-1.749529123,1.750505686,0.444090694,8.845984459,-0.085753777
1000400000,3703,-3.507680416,42.99518967,7.339754105,6.577970505,0,2,-1.749773264,1.750261545,0.761783719,6.353868484,-0.086392941
1000400000,3698,3.494018078,28.37008858,6.037305832,5.275521755,0,3,-1.749773264,1.750261545,0.761783719,6.353868484,-0.086392941
1000400000,3702,-0.007758644,36.52524567,2.155005932,1.393222213,1,1,-1.749773264,1.750261545,0.761783719,6.353868484,-0.086392941
1000400000,3708,-0.013172628,77.02016449,2.8624475,2.100663662,0,1,-1.749773264,1.750261545,0.761783719,6.353868484,-0.086392941
1000400000,3701,3.488926888,56.38978577,1.98261404,1.220830202,0,3,-1.749773264,1.750261545,0.761783719,6.353868484,-0.086392941
1000400000,3705,-0.010316089,55.54633331,0.210043475,-0.551740348,0,1,-1.749773264,1.750261545,0.761783719,6.353868484,-0.086392941
1000400000,3709,-3.514184475,75.51647186,1.008422852,0.246639028,0,2,-1.749773264,1.750261545,0.761783719,6.353868484,-0.086392941
1000400000,3706,-3.510599613,55.77134323,-1.99E-05,-0.761803687,0,2,-1.749773264,1.750261545,0.761783719,6.353868484,-0.086392941
1000450000,3703,-3.513892412,43.30824661,7.07926321,6.080964088,0,2,-1.750017405,1.750017405,0.998298883,4.730318546,-0.083687179
1000450000,3698,3.489901543,28.62750244,6.070467949,5.072168827,0,3,-1.750017405,1.750017405,0.998298883,4.730318546,-0.083687179
